start_datetime,end_datetime,cme_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_angle,cme_width,cme_speed,is_halo,is_lower_bound
1999-07-05 03:10:00,1999-07-05 04:05:00,1999-07-05 02:54:00,2000,1000,SW90b,8603,C7.6,284,190,670,False,False
1999-08-28 18:25:00,1999-08-28 18:33:00,1999-08-28 18:26:00,16000,12000,S26W14,8674,X1.1,120,245,462,False,False
1999-09-03 03:00:00,1999-09-03 04:10:00,1999-09-03 00:06:00,2000,1000,S36W24,8679,C2.1,184,175,512,False,False
1999-09-10 07:30:00,1999-09-10 07:35:00,1999-09-10 07:54:00,5500,2000,NW90b,NA,NA,18,125,1467,False,False
1999-10-14 09:10:00,1999-10-14 10:00:00,1999-10-14 09:26:00,14000,4000,N11E32,8731,X1.8,NA,360,1250,True,False
1999-10-17 23:27:00,1999-10-17 23:33:00,1999-10-18 00:06:00,11500,10000,N03E38,NA,NA,40,87,247,False,False
1999-11-16 03:27:00,1999-11-16 03:48:00,1999-11-16 03:06:00,7000,4000,N17E38,8766,M3.8,81,98,636,False,False
1999-11-16 05:17:00,1999-11-16 05:34:00,1999-11-16 05:30:00,14000,7000,N08W39,8759,M1.8,285,129,712,False,False
2000-01-18 17:31:00,2000-01-18 22:00:00,2000-01-18 17:54:00,14000,500,S19E11,8831,M3.9,NA,360,739,True,False
2000-01-28 20:20:00,2000-01-28 20:24:00,2000-01-28 20:12:00,2200,1100,S31W17,8841,C4.7,NA,360,1177,True,False
2000-02-05 19:34:00,2000-02-05 19:38:00,2000-02-05 19:54:00,5800,2900,N26E52,8858,X1.2,60,76,632,False,False
2000-02-08 09:05:00,2000-02-11 02:20:00,2000-02-08 09:30:00,12000,20,N25E26,8858,M1.3,NA,360,1079,True,False
2000-02-10 01:55:00,2000-02-10 02:00:00,2000-02-10 02:30:00,14000,8000,N31E04,8858,C7.3,NA,360,944,True,False
2000-02-12 03:55:00,2000-02-12 09:20:00,2000-02-12 04:31:00,4000,400,N26W23,8858,M1.7,NA,360,1107,True,False
2000-02-17 20:42:00,2000-02-18 22:12:00,2000-02-17 21:30:00,14000,100,S29E07,8872,M1.3,NA,360,728,True,False
2000-02-18 09:44:00,2000-02-18 09:54:00,2000-02-18 09:54:00,2000,1200,NW90b,NA,C1.1,286,118,890,False,False
2000-03-02 13:50:00,2000-03-02 14:03:00,2000-03-02 13:54:00,14000,6000,S20W58,8882,M6.5,235,76,835,False,False
2000-03-07 16:24:00,2000-03-07 16:48:00,2000-03-07 16:30:00,14000,4500,S22E77,8906,M1.2,120,108,644,False,False
2000-03-27 06:56:00,2000-03-27 06:58:00,2000-03-27 07:31:00,14000,10000,S00E90,8932,C2.3,129,90,487,False,False
2000-04-04 15:45:00,2000-04-04 16:00:00,2000-04-04 16:32:00,14000,9000,N16W66,8933,C9.7,NA,360,1188,True,False
2000-04-09 23:15:00,2000-04-09 23:45:00,2000-04-10 00:30:00,4500,1000,S14W01,8948,M3.1,NA,360,409,True,False
2000-04-18 15:00:00,2000-04-18 16:00:00,2000-04-18 14:54:00,14000,6000,S50W30,altr,NA,195,105,668,False,False
2000-05-04 11:10:00,2000-05-04 13:00:00,2000-05-04 11:26:00,6500,1000,S17W87,8970,M6.8,235,170,1404,False,True
2000-05-05 16:35:00,2000-05-05 17:30:00,2000-05-05 15:50:00,14000,2500,S17W87,8970,M1.5,NA,360,1594,True,False
2000-05-07 21:15:00,2000-05-07 00:00:00,2000-05-07 20:50:00,14000,500,W90b,NA,NA,NA,360,1781,True,False
2000-05-12 23:34:00,2000-05-12 23:42:00,2000-05-12 23:26:00,14000,7000,E90b,NA,NA,NA,360,2604,True,False
2000-05-15 16:47:00,2000-05-16 14:00:00,2000-05-15 16:26:00,4800,40,S24W67,8993,C7.8,257,165,1212,False,True
2000-06-02 22:00:00,2000-06-02 22:15:00,2000-06-02 21:30:00,14000,8000,N16E60,9026,M7.6,69,104,547,False,False
2000-06-06 15:20:00,2000-06-08 09:00:00,2000-06-06 15:54:00,14000,40,N20E18,9026,X2.3,NA,360,1119,True,False
2000-06-10 17:15:00,2000-06-10 18:45:00,2000-06-10 17:08:00,10000,1000,N22W38,9026,M5.2,NA,360,1108,True,False
2000-06-15 19:52:00,2000-06-15 19:56:00,2000-06-15 20:06:00,5000,2500,N20W65,9041,M1.8,298,116,1081,False,False
2000-06-17 03:00:00,2000-06-17 04:15:00,2000-06-17 03:28:00,14000,1000,N22W72,9041,M3.5,298,133,857,False,False
2000-06-23 14:40:00,2000-06-23 15:05:00,2000-06-23 14:54:00,14000,2000,N26W72,9042,M3.0,282,198,847,False,True
2000-06-25 08:10:00,2000-06-25 09:00:00,2000-06-25 07:54:00,12000,2500,N16W55,9046,M1.9,262,165,1617,False,False
2000-07-10 22:00:00,2000-07-10 23:30:00,2000-07-10 21:50:00,14000,1000,N18E49,9077,M5.7,67,289,1352,False,True
2000-07-11 13:00:00,2000-07-11 13:30:00,2000-07-11 13:27:00,12000,1000,N18E27,9077,X1.0,NA,360,1078,True,False
2000-07-12 20:05:00,2000-07-12 20:35:00,2000-07-12 20:30:00,6000,1000,N19W61,9070,M1.5,281,101,820,False,False
2000-07-14 10:30:00,2000-07-15 14:30:00,2000-07-14 10:54:00,14000,80,N22W07,9077,X5.7,NA,360,1674,True,False
2000-07-22 11:45:00,2000-07-22 12:45:00,2000-07-22 11:54:00,14000,2000,N14W56,9085,M3.7,259,229,1230,False,True
2000-08-11 11:35:00,2000-08-11 11:59:00,2000-08-11 07:31:00,2800,2000,NW90b,NA,NA,273,70,1071,False,False
2000-09-12 12:00:00,2000-09-13 12:20:00,2000-09-12 11:54:00,14000,60,S19W06,DSF,M1.0,NA,360,1550,True,False
2000-09-12 18:15:00,2000-09-12 19:00:00,2000-09-12 17:30:00,2000,1000,NE90b,NA,NA,NA,360,1053,True,False
2000-09-16 04:30:00,2000-09-16 10:30:00,2000-09-16 05:18:00,14000,400,N14W07,9165,M5.9,NA,360,1215,True,False
2000-09-19 08:45:00,2000-09-19 10:20:00,2000-09-19 08:50:00,12000,1500,N14W46,9165,M5.1,283,76,766,False,False
2000-09-25 02:20:00,2000-09-25 03:00:00,2000-09-25 02:50:00,14000,1000,N09W18,9169,M1.8,NA,360,587,True,False
2000-10-16 07:10:00,2000-10-16 08:00:00,2000-10-16 07:27:00,14000,1000,N03W90,9182,M2.5,NA,360,1336,True,False
2000-10-25 09:30:00,2000-10-25 00:00:00,2000-10-25 08:26:00,10000,300,N09W63,9199,C4.0,NA,360,770,True,False
2000-11-03 18:35:00,2000-11-03 18:45:00,2000-11-03 18:26:00,4000,2500,N02W02,9213,C3.2,NA,360,291,True,False
2000-11-08 23:20:00,2000-11-09 12:00:00,2000-11-08 23:06:00,4000,200,N10W77,9213,M7.4,271,170,1738,False,True
2000-11-09 16:15:00,2000-11-11 04:00:00,NA,10000,40,S11E10,9221,M1.0,NA,,NA,False,True
2000-11-12 14:25:00,2000-11-12 14:40:00,2000-11-12 14:50:00,3000,2000,S14E05,9227,C4.4,257,50,581,False,False
2000-11-23 08:16:00,2000-11-23 08:35:00,2000-11-23 06:06:00,14000,9000,S26W40,9238,C5.4,NA,360,492,True,False
2000-11-23 21:00:00,2000-11-23 21:06:00,2000-11-23 21:30:00,3500,3000,S20E60,9239,C7.9,124,148,1198,False,False
2000-11-24 05:10:00,2000-11-24 15:00:00,2000-11-24 05:30:00,14000,100,N20W05,9236,X2.0,NA,360,1289,True,False
2000-11-24 15:25:00,2000-11-24 22:00:00,2000-11-24 15:30:00,14000,200,N22W07,9236,X2.3,NA,360,1245,True,False
2000-11-24 22:24:00,2000-11-24 22:36:00,2000-11-24 22:06:00,4000,3000,N21W14,9236,X1.8,NA,360,1005,True,False
2000-11-25 01:25:00,2000-11-25 02:25:00,2000-11-25 01:31:00,14000,3000,N07E50,9240,M8.2,NA,360,2519,True,False
2000-11-25 19:00:00,2000-11-25 19:35:00,2000-11-25 19:31:00,6000,2000,N20W23,9236,X1.9,NA,360,671,True,False
2000-11-25 19:55:00,2000-11-25 20:25:00,2000-11-25 21:30:00,13000,4000,N20W27,9236,NA,345,59,388,False,False
2000-11-26 17:00:00,2000-11-26 17:15:00,2000-11-26 17:06:00,14000,7000,N18W38,9236,X4.0,NA,360,980,True,False
2000-12-28 12:40:00,2000-12-28 13:38:00,2000-12-28 12:06:00,14000,1900,Back,NA,NA,NA,360,930,True,False
2001-01-20 19:12:00,2001-01-20 19:16:00,2001-01-20 19:31:00,14000,6000,S07E40,9313,M1.2,NA,360,839,True,False
